NMR Spectra / Total Protein (a.u and/or mg/mL) per region -->,Total Protein concentration (mg/mL): 0.2 - 0.5 ppm,+/- Error (mg/mL): 0.2 - 0.5 ppm,Total Protein concentration (mg/mL): 0.2 - 0.7 ppm,+/- Error (mg/mL): 0.2 - 0.7 ppm,Total Protein concentration (mg/mL): 8.0 - 10.0 ppm,+/- Error (mg/mL): 8.0 - 10.0 ppm,Total Protein concentration (mg/mL): All regions,+/- Error (mg/mL): All regions
REQ-30,0.0932,0.0026,0.0342,0.0021,0.2588,0.0085,0.1288,0.0044
REQ-31,11.7728,0.3296,11.6759,0.7239,11.8515,0.3911,11.7667,0.4815
REQ-32,1.7926,0.0502,1.7949,0.1113,1.9584,0.0646,1.8486,0.0754
REQ-33,6.5312,0.1829,6.2526,0.3877,6.0905,0.201,6.2915,0.2572
REQ-34,9.8514,0.2758,9.6404,0.5977,10.3897,0.3429,9.9605,0.4055
